,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1450,[814 236],[788 264],[825 216],0.5,0.3,0.37479408786422513,-20.54570115826607
1451,[1267  243],[1233  207],[1272  253],-0.5,-0.5,-0.5,26.56505117707799
1452,[858 492],[842 475],[872 526],-0.5,-0.30000000000000004,-0.4223311402727641,22.89584780444341
1453,[928 560],[932 567],[890 520],-0.30000000000000004,-0.5,-0.32549946747947334,18.03004124473247
1454,[788 163],[807 143],[778 194],0.5,0.30000000000000004,0.40828928004695125,-22.209667295535326
1455,[760 141],[772 127],[743 178],0.5,0.30000000000000004,0.43766116952905515,-23.637128057009562
1456,[438 738],[438 738],,0.0,,0.0,0.0
1457,[301 116],[331 148],[297  98],-0.3,-0.30000000000000004,-0.30000000000000004,16.69924423399362
1458,[890 274],[868 297],[900 246],0.30000000000000004,0.3,0.30000000000000004,-16.69924423399362
1459,[142 625],[127 642],[164 596],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
1460,[831 574],[854 598],[822 548],-0.5,-0.30000000000000004,-0.3905721488635506,21.33423198561564
1461,[437 113],[423 141],[438  86],0.30000000000000004,0.3,0.30000000000000004,-16.69924423399362
1462,[976 281],[939 321],[979 270],0.30000000000000004,0.30000000000000004,0.3,-16.69924423399362
1463,[1463  619],[1468  614],[1423  658],1.7857142857142858,1.7857142857142858,1.78571,-60.75111504159832
1464,[1089  253],[1089  229],[1089  285],0.0,0.0,0.0,0.0
1465,[940 457],[929 444],[959 497],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
1466,[ 86 428],[125 401],[ 73 428],2.4999999999999996,2.5000000000000004,2.5,-68.19859051364821
1467,[396 111],[396 141],[396  84],0.0,0.0,0.0,0.0
1468,[ 86 573],[ 74 585],[120 547],1.1764705882352942,1.3461538461538463,1.2246454714881096,-50.76620132748934
1469,[1397  656],[1370  683],[1417  646],1.7857142857142858,1.3461538461538463,1.5084912395010182,-56.459043820984434
1470,[1203  515],[1180  539],[1206  487],0.30000000000000004,0.30000000000000004,0.29999999999999993,-16.69924423399362
1471,[1083  326],[1067  345],[1096  286],0.30000000000000004,0.30000000000000004,0.3,-16.69924423399362
1472,[1249  253],[1211  215],[1252  261],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
1473,[736 594],[774 634],[732 588],-0.5,-0.5,-0.5,26.56505117707799
1474,[126 275],[144 291],[ 94 260],-1.7857142857142858,-1.7857142857142856,-1.7857099999999997,60.751115041598304
1475,[813 236],[786 263],[823 215],0.30000000000000004,0.5,0.42428969531439026,-22.99101208092701
1476,[676 122],[702  96],[667 145],0.5,0.30000000000000004,0.38036144426463475,-20.82488498773588
1477,[1380  661],[1366  674],[1416  644],1.7857142857142858,1.7857142857142858,1.78571,-60.75111504159832
1478,[117 513],[149 482],[105 522],1.785714285714286,1.3461538461538463,1.4568641955540163,-55.53407106372732
1479,[1132  505],[1132  533],[1132  477],0.30000000000000004,0.0,0.15,-8.530765609948132
1480,[237  69],[227  58],[259 109],-0.3,-0.5,-0.3491302906343972,19.245641602026737
1481,[1416  701],[1385  729],[1435  694],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
1482,[1327  160],[1318  152],[1360  194],-1.0,-1.0,-1.0,44.99999999999999
1483,[366 699],[337 734],[367 676],0.30000000000000004,0.30000000000000004,0.30000000000000004,-16.69924423399362
1484,[ 65 547],[ 55 556],[103 520],1.5,1.3461538461538463,1.465542333413234,-55.692668879946716
1485,[333 711],[318 731],[339 673],0.30000000000000004,0.30000000000000004,0.3,-16.69924423399362
1486,[ 92 239],[ 56 205],[102 244],-1.3461538461538467,-1.7857142857142856,-1.7047447440127628,59.60419573347477
1487,[638 150],[606 184],[644 136],0.30000000000000004,0.3,0.3,-16.69924423399362
1488,[1401  129],[1364   92],[1408  133],-1.7857142857142858,-1.3461538461538463,-1.4048344514204762,54.55568757930515
1489,[853 486],[842 475],[872 526],-0.5,-0.30000000000000004,-0.44800644494223946,24.132687136740703
1490,[345 631],[354 618],[334 671],0.30000000000000004,0.30000000000000004,0.3,-16.69924423399362
1491,[769 135],[774 128],[736 175],0.5,0.5,0.5,-26.56505117707799
1492,[150 610],[122 638],[164 596],1.0,0.7000000000000001,0.7999999999999999,-38.65980825409008
1493,[719 179],[682 216],[723 170],0.5,0.3,0.33168120910683924,-18.34971286878545
1494,[1383  517],[1387  512],[1346  554],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
1495,[ 80 212],[ 62 195],[110 229],-1.5,-1.3461538461538463,-1.435700523338237,55.141859250278486
1496,[1159  251],[1146  228],[1159  282],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
1497,[ 73 205],[ 62 195],[110 229],-1.5,-1.3461538461538463,-1.4612139460086437,55.61372555000538
1498,[1430  165],[1448  181],[1401  145],-1.7857142857142858,-1.3461538461538463,-1.6072270335469958,58.11055424733356
1499,[263 675],[234 707],[268 656],0.30000000000000004,0.30000000000000004,0.3,-16.69924423399362
1500,[239 106],[204  69],[242 116],-0.5,-0.3,-0.3340232320010406,18.470516910595432
1501,[1041  296],[1001  336],[1046  282],0.30000000000000004,0.30000000000000004,0.29999999999999993,-16.69924423399362
1502,[1416   38],[1388   17],[1439   49],-2.4999999999999996,inf,-5.93203236491822,80.43125470799562
1503,[892 568],[902 578],[869 528],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
1504,[342 135],[348 145],[309  95],-0.3,-0.30000000000000004,-0.3,16.69924423399362
1505,[589 613],[569 591],[598 642],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
1506,[738 628],[752 644],[721 593],-0.5,-0.5,-0.5,26.56505117707799
1507,[429 699],[455 736],[429 677],-0.30000000000000004,-0.2,-0.2327275385524895,13.101100577696014
1508,[ 35 335],[ 13 318],[ 71 343],-2.5,-2.4999999999999996,-2.5,68.19859051364821
1509,[1255  236],[1228  209],[1261  258],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
1510,[290 148],[298 157],[264 108],-0.3,-0.30000000000000004,-0.29999999999999993,16.69924423399362
1511,[ 77 506],[ 45 538],[ 93 501],1.7857142857142856,2.4999999999999996,2.306931797442063,-66.56441658846938
1512,[194 136],[155  98],[198 140],-0.8,-0.7000000000000001,-0.7094110457869367,35.35231053478034
1513,[512 142],[505 153],[541 102],0.30000000000000004,0.3,0.30000000000000004,-16.69924423399362
1514,[783 515],[775 504],[804 555],-0.30000000000000004,-0.5,-0.346280113631236,19.099952230785988
1515,[420 104],[420 141],[423  85],0.0,0.3,0.19738462153698508,-11.16577359175216
1516,[270 137],[292 159],[256 111],-0.3,-0.5,-0.4026104733663991,21.930232192467276
1517,[570  89],[599  57],[563 107],0.3,0.30000000000000004,0.3,-16.69924423399362
1518,[567 129],[537 161],[572 111],0.30000000000000004,0.3,0.30000000000000004,-16.69924423399362
1519,[1399   41],[1386   28],[1439   49],-2.4999999999999996,inf,-3.626734773582496,74.58486460983637
1520,[ 57 300],[ 26 269],[ 78 303],-2.5,-2.4999999999999996,-2.5,68.19859051364821
1521,[620 117],[658  78],[616 125],0.3,0.30000000000000004,0.3,-16.69924423399362
1522,[233  93],[208  67],[242 116],-0.5,-0.3,-0.3812873837050104,20.871217877292047
1523,[733 566],[704 536],[742 583],-0.5,-0.5,-0.5,26.56505117707799
1524,[832 507],[813 487],[846 537],-0.5,-0.30000000000000004,-0.4090945288158812,22.249201319221562
1525,[531  59],[547  42],[519  96],0.3,0.30000000000000004,0.30000000000000004,-16.69924423399362
1526,[1004  450],[987 429],[1013  484],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
1527,[681 176],[654 204],[691 156],0.5,0.5,0.5,-26.56505117707799
1528,[736 216],[719 233],[752 183],0.5,0.3,0.420806109874181,-22.8216554735583
1529,[1215  460],[1241  433],[1211  487],0.30000000000000004,0.30000000000000004,0.3,-16.69924423399362
1530,[819 173],[836 156],[802 205],0.5,0.5,0.5,-26.56505117707799
1531,[1345  127],[1342  126],[1385  167],-1.3461538461538463,-1.0,-1.3278240769802745,53.016164632708865
1532,[1370  534],[1390  514],[1348  556],1.0,1.0,1.0,-44.99999999999999
1533,[1445  162],[1454  171],[1405  139],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
1534,[846 484],[840 476],[878 524],-0.30000000000000004,-0.5,-0.33266639770163453,18.40055060742237
1535,[1415  565],[1427  553],[1383  592],1.0,1.3461538461538463,1.0998371794810011,-47.7220894171483
1536,[807 163],[820 149],[789 199],0.5,0.30000000000000004,0.4356238506647685,-23.53908992220787
1537,[189 630],[155 664],[196 620],0.8,0.7000000000000001,0.7202464632942898,-35.76318629045924
1538,[1322  154],[1319  151],[1361  193],-1.0,-1.0,-1.0,44.99999999999999
1539,[723 657],[723 657],,-0.5,,-0.5,26.56505117707799
1540,[195 605],[228 571],[188 614],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
1541,[ 87 367],[124 377],[ 69 367],-2.4999999999999996,inf,-7.823268860204666,82.71573635897471
1542,[112 319],[129 336],[ 77 311],-2.4999999999999996,-2.4999999999999996,-2.5,68.19859051364821
1543,[1290  530],[1255  565],[1295  520],0.5,0.5,0.5,-26.56505117707799
1544,[538 635],[515 607],[541 659],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
1545,[456  53],[480  29],[450  86],0.3,0.30000000000000004,0.3,-16.69924423399362
1546,[1388  684],[1375  694],[1427  670],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
1547,[869 475],[862 467],[903 515],-0.5,-0.5,-0.5,26.56505117707799
1548,[144 628],[128 643],[169 600],0.8,0.7000000000000001,0.7631203688040799,-37.34799028394059
1549,[1083  307],[1055  344],[1083  285],0.30000000000000004,0.0,0.09649062002059482,-5.511442898719192
1550,[254  87],[227  58],[261 108],-0.3,-0.3,-0.30000000000000004,16.69924423399362
1551,[296  72],[267  43],[300  96],-0.3,-0.3,-0.29999999999999993,16.69924423399362
1552,[1238  315],[1248  327],[1209  275],-0.5,-0.30000000000000004,-0.45195686419961595,24.320916141819975
